Ruler Distance, Sensor measured value
1, 1809
2, 2772
3, 2842
4, 2459
5, 2118
6, 1846
7, 1629
8, 1441
9, 1328
10, 1198
11, 1084
12, 1009
13, 938
14, 879
15, 803
16, 746
17, 707
18, 665
19, 647
20, 609
21, 590
22, 548
23, 529
24, 508
25, 492
26, 472
27, 451
28, 434
29, 412
30, 391
31, 393
32, 375
33, 354
34, 345
35, 357
36, 340
37, 332
38, 325
39, 308
40, 300
