Ruler Distance, Sensor measured value
1, 1836
2, 2718
3, 2878
4, 2407
5, 2091
6, 1798
7, 1587
8, 1420
9, 1270
10, 1157
11, 1066
12, 983
13, 928
14, 856
15, 814
16, 758
17, 720
18, 655
19, 619
20, 591
21, 559
22, 539
23, 517
24, 500
25, 480
26, 462
27, 444
28, 423
29, 401
30, 386
31, 384
32, 363
33, 367
34, 348
35, 346
36, 350
37, 346
38, 304
39, 313
40, 304
