Ruler Distance, Sensor measured value
1, 1793
2, 2737
3, 2917
4, 2458
5, 2119
6, 1830
7, 1608
8, 1439
9, 1285
10, 1174
11, 1080
12, 1002
13, 936
14, 862
15, 799
16, 765
17, 702
18, 664
19, 625
20, 604
21, 567
22, 546
23, 524
24, 506
25, 464
26, 470
27, 443
28, 430
29, 425
30, 401
31, 384
32, 376
33, 357
34, 371
35, 349
36, 348
37, 328
38, 322
39, 311
40, 292
