Ruler Distance, Sensor measured value
1, 1757
2, 2731
3, 2916
4, 2451
5, 2134
6, 1841
7, 1642
8, 1456
9, 1305
10, 1196
11, 1100
12, 1044
13, 961
14, 888
15, 826
16, 791
17, 728
18, 688
19, 669
20, 629
21, 591
22, 573
23, 551
24, 531
25, 494
26, 476
27, 457
28, 434
29, 431
30, 420
31, 399
32, 399
33, 380
34, 358
35, 359
36, 350
37, 335
38, 320
39, 314
40, 298
