Ruler Distance, Sensor measured value
1, 1742
2, 2617
3, 2867
4, 2469
5, 2149
6, 1841
7, 1622
8, 1456
9, 1308
10, 1175
11, 1075
12, 1003
13, 932
14, 855
15, 799
16, 762
17, 704
18, 661
19, 643
20, 604
21, 558
22, 541
23, 520
24, 512
25, 484
26, 444
27, 443
28, 425
29, 403
30, 403
31, 362
32, 363
33, 342
34, 347
35, 328
36, 328
37, 311
38, 308
39, 301
40, 299
