Ruler Distance, Sensor measured value
1, 1847
2, 2816
3, 2835
4, 2410
5, 2104
6, 1832
7, 1614
8, 1450
9, 1298
10, 1165
11, 1074
12, 991
13, 912
14, 856
15, 798
16, 743
17, 698
18, 658
19, 620
20, 582
21, 540
22, 525
23, 505
24, 487
25, 485
26, 446
27, 429
28, 430
29, 408
30, 388
31, 368
32, 348
33, 349
34, 330
35, 327
36, 308
37, 313
38, 287
39, 289
40, 296
