Ruler Distance, Sensor measured value
1, 1756
2, 2490
3, 2860
4, 2400
5, 2098
6, 1809
7, 1584
8, 1423
9, 1267
10, 1156
11, 1060
12, 996
13, 923
14, 865
15, 808
16, 768
17, 704
18, 669
19, 630
20, 609
21, 573
22, 548
23, 531
24, 511
25, 477
26, 472
27, 463
28, 433
29, 414
30, 392
31, 392
32, 369
33, 355
34, 352
35, 334
36, 355
37, 314
38, 337
39, 311
40, 304
